Apartments in Mumbai,,,,,,
Owner_info,BHK_Info,Price,Locality,Area in Sqft,Construction status,Price per/sqft
OWNER,1, 2.8 Cr,Andheri East,1200,Ready to move,"23,333 / sq ft"
OWNER,2, 2.95 Cr,Andheri East,1150,Ready to move,"25,652 / sq ft"
OWNER,1, 60 L,Kalamboli,700,Ready to move,"8,571 / sq ft"
OWNER,1, 60 L,Kalamboli,700,Ready to move,"8,571 / sq ft"
OWNER,1, 60 L,Kalamboli,700,Ready to move,"8,571 / sq ft"
OWNER,1, 60 L,Kalamboli,700,Ready to move,"8,571 / sq ft"
OWNER,1, 60 L,Kalamboli,700,Ready to move,"8,571 / sq ft"
OWNER,1, 24 L,Kharghar,620,Ready to move,"3,870 / sq ft"
OWNER,1, 24 L,Kharghar,620,Ready to move,"3,870 / sq ft"
OWNER,1, 24 L,Kharghar,620,Ready to move,"3,870 / sq ft"
OWNER,1, 24 L,Kharghar,620,Ready to move,"3,870 / sq ft"
